opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,11/12/16,3/1/17,556
TBZMXKH4,Wilburn Farren,MG Advanced,Acme Corporation,Won,1/15/17,3/29/17,3833
S3W6Q07M,Kami Bicknell,GTX Plus Pro,Acme Corporation,Engaging,1/16/17,00/00/0000,0
V4324HG4,Violet Mclelland,MG Special,Acme Corporation,Lost,1/23/17,5/6/17,0
TK9T01QM,Reed Clapper,GTXPro,Acme Corporation,Lost,1/25/17,5/7/17,0
CZ3XOD03,Boris Faz,GTX Plus Pro,Acme Corporation,Won,1/29/17,5/11/17,5772
88KUDE6J,Donn Cantrell,GTX Plus Pro,Acme Corporation,Won,2/4/17,5/30/17,5366
XT9YNOV2,Donn Cantrell,GTX Plus Pro,Acme Corporation,Won,2/9/17,6/11/17,5724
0AXGVKN8,Garret Kinder,MG Special,Acme Corporation,Won,2/24/17,5/28/17,55
POB32WHJ,Daniell Hammack,GTX Plus Basic,Acme Corporation,Lost,3/4/17,5/6/17,0
7TI1WTV9,Zane Levy,GTXPro,Acme Corporation,Engaging,3/4/17,00/00/0000,0
OJVA8ZEK,Daniell Hammack,GTX Plus Basic,Acme Corporation,Won,3/5/17,6/8/17,966
3DKK3JF3,Reed Clapper,GTX Basic,Acme Corporation,Lost,3/6/17,5/29/17,0
YFP8IZ98,Rosie Papadopoulos,MG Special,Acme Corporation,Won,3/8/17,6/22/17,61
6RJE18RW,Cassey Cress,GTX Plus Basic,Acme Corporation,Won,3/19/17,3/24/17,1161
7ASDRLM5,Donn Cantrell,GTX Basic,Acme Corporation,Won,3/29/17,5/11/17,549
04LU4OPA,Daniell Hammack,GTX Plus Pro,Acme Corporation,Won,4/10/17,6/11/17,5721
QK5BW61U,Donn Cantrell,MG Advanced,Acme Corporation,Won,4/16/17,8/5/17,3012
I6O855AE,Daniell Hammack,GTX Plus Basic,Acme Corporation,Won,4/19/17,5/22/17,1282
LW8485Y2,Cassey Cress,GTX Plus Basic,Acme Corporation,Won,4/20/17,8/10/17,1161
ETADSAC3,Donn Cantrell,GTXPro,Acme Corporation,Won,4/21/17,4/27/17,4605
POFA8BWL,Rosie Papadopoulos,MG Advanced,Acme Corporation,Won,4/21/17,4/23/17,3850
2PCPSBP9,Reed Clapper,GTX Basic,Acme Corporation,Lost,4/22/17,5/8/17,0
79IN4OVP,Cassey Cress,GTX Basic,Acme Corporation,Lost,5/3/17,8/1/17,0
5NW73ZRY,Boris Faz,MG Advanced,Acme Corporation,Won,5/6/17,5/22/17,3370
H6CG7TPM,Violet Mclelland,GTX Plus Basic,Acme Corporation,Won,5/10/17,5/28/17,1022
IQ8MEPW9,Reed Clapper,GTXPro,Acme Corporation,Lost,5/12/17,5/24/17,0
10QXTLQX,Daniell Hammack,GTXPro,Acme Corporation,Won,5/15/17,6/25/17,5857
UW6FSSDK,Violet Mclelland,MG Special,Acme Corporation,Lost,5/16/17,8/16/17,0
W8E2YLNY,Reed Clapper,GTX Plus Basic,Acme Corporation,Won,5/27/17,9/4/17,1095
56ZJUSNG,Daniell Hammack,GTXPro,Acme Corporation,Won,5/28/17,6/7/17,5378
84D18IA1,Violet Mclelland,MG Special,Acme Corporation,Lost,6/5/17,8/1/17,0
E0ITYYTG,Donn Cantrell,GTXPro,Acme Corporation,Lost,6/8/17,8/27/17,0
FKNT3I12,Corliss Cosme,GTXPro,Acme Corporation,Lost,6/23/17,7/1/17,0
J7U29ZM5,Violet Mclelland,GTX Basic,Acme Corporation,Lost,6/30/17,9/23/17,0
3KVXBQ5V,Boris Faz,GTX Plus Basic,Acme Corporation,Lost,7/1/17,8/15/17,0
FIQIRK37,Daniell Hammack,GTXPro,Acme Corporation,Won,7/7/17,7/8/17,4089
B3A6VXVQ,Corliss Cosme,GTX Basic,Acme Corporation,Engaging,7/8/17,00/00/0000,0
M1VNX1D7,Cassey Cress,GTXPro,Acme Corporation,Won,7/16/17,7/28/17,5318
